steamid,playtime_forever,achievement_count,crafting_count,crafting_percent,combat_count,combat_percent,exploration_count,exploration_percent,death_count,death_percent,leveling_count,leveling_percent,survival_count,survival_percent,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,efficiency,efficiency_cap,stage1_speed,stage1_speed_KMeans,stage1_speed_GMM,stage1_speed_Agglomerative,stage2_persona,log_play,cheater_flag
76561197989446733,47560,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.0009041211101766001,0.0009041211101766001,Slow,Normal,Normal,Normal,4.0,10.769768376656003,False
76561198057078777,8138,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.005283853526664379,0.005283853526664379,Slow,Normal,Normal,Normal,1.0,9.004422601327041,False
76561197967540452,1490,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,7.307202314764738,False
76561198083142373,716,3,3,0.375,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.00418994413407236,0.00418994413407236,Slow,Normal,Normal,Normal,0.0,6.57507584059962,False
76561198024926277,140,6,4,0.5,2,0.1333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,50,10,0,0,0,0,0,0.04285714285683674,0.04285714285683674,Effective,Normal,Effective,Normal,2.0,4.948759890378168,False
76561198159216159,297,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,5.697093486505405,False
76561198054004608,2110,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.020379146919421623,0.020379146919421623,Normal,Normal,Effective,Normal,1.0,7.65491704784832,False
76561197997946137,439,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.0867747269123065,False
76561198079772364,129,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,4.867534450455582,False
76561197993579927,5231,32,7,0.875,10,0.6666666666666666,3,0.5,4,1.0,4,0.8,4,0.8,1680,1500,2500,0,10,250,28,140,0.006117377174535248,0.006117377174535248,Slow,Normal,Normal,Normal,1.0,8.562548893137034,False
76561198339323993,215,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,5.375278407684165,False
76561198023327915,176,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,5.176149732573829,False
76561198080349814,489358,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,8.787022997478311e-05,8.787022997478311e-05,Slow,Normal,Normal,Normal,3.0,13.10085165042899,False
